"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"191",1996,"080484","Carme","06","Anoia","Penedès","AT08",670,636,595,360,676,99,94,88,53,98,89,84,55,97,85,80,51
"192",1991,"080484","Carme","06","Anoia","Penedès","AT08",674,632,588,385,674,100,94,87,57,98,85,79,52,98,82,79,48
"193",2011,"080497","Casserres","14","Berguedà","Comarques Centrals","AT06",1494,1444,1418,1161,1515,99,95,94,77,99,93,93,73,99,91,91,72
"194",2001,"080497","Casserres","14","Berguedà","Comarques Centrals","AT06",1507,1466,1418,1151,1514,100,97,94,76,99,94,90,70,99,91,89,68
"195",1996,"080497","Casserres","14","Berguedà","Comarques Centrals","AT06",1587,1560,1447,726,1594,100,98,91,46,100,95,86,60,99,93,88,60
"196",1991,"080497","Casserres","14","Berguedà","Comarques Centrals","AT06",1646,1561,1455,1063,1651,100,95,88,64,100,93,84,57,99,90,83,54
"197",2011,"080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06",173,165,157,139,173,100,95,91,80,99,93,93,73,99,91,91,72
"198",2001,"080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06",114,105,102,83,116,98,91,88,72,99,94,90,70,99,91,89,68
"199",1996,"080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06",91,90,86,73,91,100,99,95,80,100,95,86,60,99,93,88,60
"200",1991,"080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06",62,50,47,42,62,100,81,76,68,100,93,84,57,99,90,83,54
"201",2011,"080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01",22303,18701,19548,14716,22686,98,82,86,65,97,77,82,60,97,79,82,61
"202",2001,"080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01",17172,14224,14303,10306,17697,97,80,81,58,96,76,76,52,96,78,78,54
"203",1996,"080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01",15022,12749,12205,8344,15504,97,82,79,54,95,76,73,48,96,78,75,49
"204",1991,"080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01",12713,10240,9950,6749,13204,96,78,75,51,94,71,70,44,95,73,72,46
"205",2011,"080522","Castellar de n'Hug","14","Berguedà","Comarques Centrals","AT06",172,154,157,119,172,100,90,91,69,99,93,93,73,99,91,91,72
"206",2001,"080522","Castellar de n'Hug","14","Berguedà","Comarques Centrals","AT06",165,154,153,103,168,98,92,91,61,99,94,90,70,99,91,89,68
"207",1996,"080522","Castellar de n'Hug","14","Berguedà","Comarques Centrals","AT06",170,167,135,79,170,100,98,79,46,100,95,86,60,99,93,88,60
"208",1991,"080522","Castellar de n'Hug","14","Berguedà","Comarques Centrals","AT06",162,150,142,101,162,100,93,88,62,100,93,84,57,99,90,83,54
"209",2011,"080538","Castellbell i el Vilar","07","Bages","Comarques Centrals","AT06",3462,2962,3041,2250,3567,97,83,85,63,98,85,87,66,99,91,91,72
"210",2001,"080538","Castellbell i el Vilar","07","Bages","Comarques Centrals","AT06",2747,2274,2148,1531,2855,96,80,75,54,98,87,85,64,99,91,89,68
"211",1996,"080538","Castellbell i el Vilar","07","Bages","Comarques Centrals","AT06",2634,2254,2189,1445,2755,96,82,79,52,98,88,84,56,99,93,88,60
"212",1991,"080538","Castellbell i el Vilar","07","Bages","Comarques Centrals","AT06",2639,2126,1957,964,2756,96,77,71,35,98,85,80,51,99,90,83,54
"213",2011,"080543","Castellbisbal","40","Vallès Occidental","Metropolità","AT01",11427,9316,9760,7518,11952,96,78,82,63,97,77,82,60,97,79,82,61
"214",2001,"080543","Castellbisbal","40","Vallès Occidental","Metropolità","AT01",8414,6494,6542,4289,8850,95,73,74,48,96,76,76,52,96,78,78,54
"215",1996,"080543","Castellbisbal","40","Vallès Occidental","Metropolità","AT01",5798,4504,4290,2707,6108,95,74,70,44,95,76,73,48,96,78,75,49
"216",1991,"080543","Castellbisbal","40","Vallès Occidental","Metropolità","AT01",4612,3209,3129,1866,4863,95,66,64,38,94,71,70,44,95,73,72,46
"217",2011,"080556","Castellcir","42","Moianès","Metropolità","AT01",597,528,550,432,612,98,86,90,71,99,90,90,72,97,79,82,61
"218",2001,"080556","Castellcir","42","Moianès","Metropolità","AT01",388,352,349,262,395,98,89,88,66,99,92,90,68,96,78,78,54
"219",1996,"080556","Castellcir","42","Moianès","Metropolità","AT01",299,285,271,186,302,99,94,90,62,99,94,90,64,96,78,75,49
"220",1991,"080556","Castellcir","42","Moianès","Metropolità","AT01",240,230,218,175,243,99,95,90,72,99,91,87,61,95,73,72,46
"221",2011,"080569","Castelldefels","11","Baix Llobregat","Metropolità","AT01",55913,39430,44311,29699,59524,94,66,74,50,96,74,79,57,97,79,82,61
"222",2001,"080569","Castelldefels","11","Baix Llobregat","Metropolità","AT01",41196,28654,29544,18393,44931,92,64,66,41,95,73,74,49,96,78,78,54
