"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","competencia","percentatge_comp","origen","percentatge_ori"
"221",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Escriure",52,"Estat",20
"222",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Escriure",52,"Estranger",21
"223",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Llegir",77,"Catalunya",59
"224",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Llegir",77,"Estat",20
"225",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Llegir",77,"Estranger",21
"226",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Parlar",70,"Catalunya",59
"227",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Parlar",70,"Estat",20
"228",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Parlar",70,"Estranger",21
"229",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Entendre",97,"Catalunya",76
"230",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Entendre",97,"Estat",14
"231",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Entendre",97,"Estranger",9
"232",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Escriure",64,"Catalunya",76
"233",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Escriure",64,"Estat",14
"234",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Escriure",64,"Estranger",9
"235",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Llegir",85,"Catalunya",76
"236",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Llegir",85,"Estat",14
"237",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Llegir",85,"Estranger",9
"238",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Parlar",84,"Catalunya",76
"239",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Parlar",84,"Estat",14
"240",2011,"080207","Begues","11","Baix Llobregat","Metropolità","AT01","Parlar",84,"Estranger",9
"241",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Entendre",NA,"Catalunya",NA
"242",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Entendre",NA,"Estat",NA
"243",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Entendre",NA,"Estranger",NA
"244",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Escriure",NA,"Catalunya",NA
"245",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Escriure",NA,"Estat",NA
"246",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Escriure",NA,"Estranger",NA
"247",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Llegir",NA,"Catalunya",NA
"248",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Llegir",NA,"Estat",NA
"249",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Llegir",NA,"Estranger",NA
"250",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Parlar",NA,"Catalunya",NA
"251",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Parlar",NA,"Estat",NA
"252",2011,"080214","Bellprat","06","Anoia","Penedès","AT08","Parlar",NA,"Estranger",NA
"253",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Entendre",94,"Catalunya",73
"254",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Entendre",94,"Estat",12
"255",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Entendre",94,"Estranger",15
"256",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Escriure",64,"Catalunya",73
"257",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Escriure",64,"Estat",12
"258",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Escriure",64,"Estranger",15
"259",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Llegir",84,"Catalunya",73
"260",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Llegir",84,"Estat",12
"261",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Llegir",84,"Estranger",15
"262",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Parlar",83,"Catalunya",73
"263",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Parlar",83,"Estat",12
"264",2011,"080229","Berga","14","Berguedà","Comarques Centrals","AT06","Parlar",83,"Estranger",15
"265",2011,"080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01","Entendre",97,"Catalunya",77
"266",2011,"080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01","Entendre",97,"Estat",17
"267",2011,"080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01","Entendre",97,"Estranger",6
"268",2011,"080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01","Escriure",60,"Catalunya",77
"269",2011,"080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01","Escriure",60,"Estat",17
